,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
1057,[u'B.Sc Infromation Systems'],"[u'Clorik Consultants', u'Ethics Consultants Botswana (ECB)', u'Midlands State University']","[u'Analyst Programmer', u'Web Developer', u'Web Applications Developer', u'PHP Developer', u'Front-End Developer', u'.NET Developer', u'ASP .NET Developer', u'Junior Java Developer']",[],Analyst Programmer,"[u'Web Developer', u'IT Intern']","[u'Object Oriented Programmer -Fluent in PHP -Experience in Microsoft languages -C#', u'php', u'ASP.NET and MVC -Java -RWD website design', u'VB.Net', u'-MySQL -MsSQL -Oracle 11g -DB2', u'codeignter', u'zend', u'laravel']",1058
1058,"[u'Diploma In Information Technology', u'Baccalaureus Procurationis']","[u'Business Connexion (BCX)', u'Cymaziz Computer Services', u'EOH Mthombo', u'Little Buddha Digital', u'Navigor: CRM and Analytics business unit of EOH Mthombo', u'NvisionIT', u'Tetrad Group', u'Vicitude Business Solutions']","[u'Software Developer', u'Programmer', u'Web Developer', u'.NET Developer', u'C#.NET Developer', u'ASP .NET Developer', u'CRM Developer']","[u'Senior Siebel Developer/Consultant', u'Senior Software Developer', u'Siebel/Integration Developer/Consultant', u'Senior Consultant', u'Senior Software Developer']",MS CRM/C# Developer,"[u'Developer', u'Oracle - Siebel CRM Senior Developer']","[u'Web Services', u'C#', u'JavaScript', u'ASP.NET', u'MVC', u'SQL', u'Microsoft Dynamics CRM 2011/2013/2016', u'CSS', u'JQuery', u'HTML', u'XML', u'Angular', u'Sage Accpac CRM', u'Oracle Siebel CRM', u'Visual Studio Team Foundation Services 2015', u'Oracle SOA', u'IIS', u'Microsoft SharePoint']",1059
1059,"[u'MCSD', u'Bcom degree']","[u'Avanade', u'PRASA', u'Sebata Municipal Solutions']",[u'C# Developer'],[],C#.NET Developer,"[u'Application Developer', u'Analyst Programmer']","[u'C#', u'.NET', u'jquery', u'javascript', u'ASP .NET', u'MVC', u'Java']",1060
1060,"[u'B.Sc', u'Mscd .NET 2003', u'ITIL', u'Mcsd Visual Basic 6', u'Senior Certificate']","[u'Brainware Consulting', u'CIS', u'Cummings Software', u'Internet Solutions', u'Isodoc', u'Ixchange', u'K Concepts', u'Multichoice Africa', u'Oasis Business Systems', u'Renaissance Software', u'Scope Logistical Solutions']",[],"[u'Senior Programmer', u'Senior Programmer', u'Senior Programmer', u'Senior Programmer', u'Senior Programmer', u'Systems Analyst Analyst Programmer', u'Software Engineer', u'Software Developer']",Back-End Integration Specialist,"[u'Senior Programmer', u'Senior Programmer']","[u'Tcp/Ip Programming', u'Com / Com+', u'MS SQL Server (6.5 - 2005)', u'Http Programming', u'Delphi', u'XML', u'C#', u'Msmq', u'Asp.Net', u'Microsoft Excel', u'Soap / Web Services', u'Pop3 / Imap / Smtp', u'Html / Dhtml', u'Directx', u'Pascal', u'Visual Basic 6', u'Microsoft Access', u'C++', u'Active Directory', u'Java', u'X86 Assembler', u'Crystal Reports', u'IPX', u'Smpp', u'Active Reports', u'Interbase', u'Mysql', u'Db2 Udb', u'MS Exchange Programming', u'Pick D3']",1061
1061,"[u'B.Tech Information Technology', u'National Diploma Information Technology']","[u'CCD Computer Component Distributors', u'Central University of Technology, Free State', u'Itron Metering Solutions', u'Odyssey Point of Sale Software']",[u'SAS Programmer or Clinical Data Programmer'],"[u'Development Software 1 Supplementary Instructor', u'Technical Manager']",Operations Coordinator,"[u'Programmer Developer', u'Student Lab Assistant']","[u'SQL', u'Data Mining', u'Programming']",1062
1062,"[u'D Litt', u'Ma (Cum Laude)', u'Ba(Hons)', u'Hed', u'BA']","[u'Afda', u'Gauteng Education Department', u'Hoerskool Warmbad', u'Midrand Graduate Institute', u'Phateng Comprehensive School', u'Pro Arte Alphen Park', u'Staatspresident CR Swart', u'Tersia King Learning Academy', u'The Oxford School']","[u'Manager', u'Principal', u'Facilitator', u'Academic Director', u'Tutor', u'Principal']","[u'Accreditor and Course Developer', u'Undergraduate Principal', u'Principal', u'School Principal', u'School Principal', u'Deputy Principal', u'Head of Department Human Sciences', u'Educator']",Dean,"[u'Head of Programme', u'Principal']","[u'Student Development', u'Education Management', u'Accreditation', u'Curriculum Design', u'Staff Development', u'Teaching', u'Management', u'Facilitation', u'Curriculum Development And Enhancement', u'Computer Software', u'Budgeting']",1063
1063,[u'B Sc Information Technology'],[u'JSE'],"[u'.NET C# Developer', u'Microsoft Senior BI Developer']",[],Senior Developer C#,"[u'Senior Business Developement Analyst', u'Business Development Analyst']","[u'.NET C#', u'vb .NET', u'financial instrument valuations', u'Excel', u'sql']",1064
1064,"[u'Visual Basic 6', u'A+ Technical certificate']","[u'Fundi Interior Systems', u'Meditek Systems', u'Milbloem 16', u'Unlimited Building Supplies']","[u'IT Manager', u'Software Consultant', u'IT Developer']",[u'Technical Assistant / Developer'],Director,"[u'IT Manager', u'IT Administrator']","[u'MAC OS', u'Networking', u'SQL', u'Windows', u'Javascript', u'POS', u'Accounting', u'Business Management', u'MYSQL', u'ERP', u'PHP', u'CRM']",1065
1065,"[u'B - Tech in Electrical Engineering', u'National Diploma in Electrical Engineering']","[u'Educational Preparatory Centre', u'Marksman Trainer', u'Mernok Elekronic', u'North Park Telecoms', u'Tshwane University of Technology (Tut)']","[u'Electronic Engineer', u'Embedded Engineer', u'Electronics Technician', u'Electronic']","[u'Junior Electronics Systems Developer', u'P2 Trainee', u'P1 Trainee']",Electronic Technologist,"[u'Lab Assistant', u'Electronic Technician']","[u'Schematic and PCB development', u'Embedded Design', u'C Programming', u'Surface Mount', u'Electronics Development', u'SMD PCB Repairs', u'Production Technician', u'App Inventor 2', u'C# Development']",1066
1066,"[u'ICDL', u'Life Skills', u'Mcad.Net', u'B.Sc Computer Science', u'Computer Literacty']","[u'Redi Solutions', u'State Information Technology Agency']",[],[],Software Developer,[u'Web Developer'],"[u'Html', u'Microsoft Word', u'Ms Access 2000/2003/Xp', u'Microsoft Sql Server 2000', u'C#.Net', u'Ado.Net', u'Asp.Net', u'Javascript', u'Cascading Style Sheets', u'Dream Weaver And Fireworks', u'Mysql', u'XML', u'Dhtml', u'Uml (Rational Rose C++)', u'Php Scripts']",1067
1067,[u'ND Information Technology'],"[u'Flowcentric', u'The Empire Holding Group', u'Thinkroom']","[u'C# Developer', u'SQL Database Administrator', u'SQL Developer']",[],Web and SQL developer,"[u'Database Developer', u'Solution Developer']","[u'SQL developing', u'Software deceloper', u'C#', u'AngularJS', u'JQuery', u'CSS', u'Bootsrep', u'MVC']",1068
1068,[u'BSc IT Software Engineering'],[u'Gijimaast'],"[u'.NET Developer', u'Software Engineer C#']",[],Application Developer,[],"[u'SOAP', u'C#.NET', u'SSRS', u'IDENTITY AUTHENTICATION', u'Javascript', u'JSON', u'Jquery', u'ENTITY FRAMWORK', u'ASP.NET', u'VB.NET', u'VISUAL STUDIO IDENTITY FRAMWORK', u'LDAP AUTHENTICATION', u'SYSTEMS INTEGRATION', u'CSS3', u'HTML5', u'BOOTSTRAP']",1069
1069,"[u'MSc Aeronautical Engineering', u'Requirements Analysis & Specification Writing', u'ISO 9001:2008 Internal and Supplier Auditor Training', u'Aircraft Certification Specialty and Changed Product Rule', u'B.Eng Electronics']","[u'ATNS', u'Denel Dynamics', u'South African Breweries', u'South African Civil Aviation Authority']",[u'Senior Systems Engineer'],"[u'Certification Engineer', u'Software Developer']",Systems Engineer,"[u'Control & Automation Engineer', u'Operations Management']","[u'Microsoft Office', u'Project Management', u'Planning', u'Data Analysis', u'Management', u'Budgeting', u'Algorithm Development']",1070
1070,"[u'Bachelor Of Technology(Computer Science)', u'Intermediate(10+2)', u'High School/Grade 10(Matric)']","[u'Acuvate Software PVT', u'Code Fusion', u'HCL India', u'HCL Technologies, India', u'Raybuisness Technologies', u'Sun International', u'Thomsonreuters']","[u'SharePoint Consultant', u'Senior .Net Developer', u'C# Developer', u'Silverlight Developer', u'ASP.Net Developer', u'C# Developer', u'Silverlight Developer', u'Share point Consultant', u'ASP.Net Developer']","[u'.NET Developer', u'.NET Developer', u'Software Engineer', u'Software Engineer']",Senior C# Developer,"[u'Senior Sharepoint Developer', u'Senior Analyst Programmer']","[u'Sharepoint 2010', u'AngularJS', u'SSIS', u'C#', u'Asp .Net(2.0,3.5,4.0)', u'C#(2.0,3.5,4.0)', u'Share Point 2007/2010', u'Msbi', u'Sharepoint 2013', u'TFS', u'VFS', u'Wcf 4.0', u'Sharepoint Designer 2010/2013', u'Silverlight 4.0', u'Microsoft Reports', u'Crystal Reports']",1071
1071,"[u'MCSD', u'Diploma']","[u'Department of CoGHSTA', u'Khutso IT solution', u'TUT']","[u'Software Developer', u'Database Administrator', u'C# Developer', u'Junior Developer', u'Web Developer', u'PHP Web Developer', u'Junior PHP Developer', u'PHP Developer']",[],System Developer,"[u'Developer', u'Students Mentor']","[u'Technical skills', u'Programming skills', u'Database management', u'good verbal skills', u'typng skills', u'Technical frameworks', u'Compute literate', u'Good communication skills', u'interpersonal skills']",1072
1072,[u'Masters Of Computers'],"[u'Dimension Data', u'Fed Ex', u'Solar It solutions', u'Wipro Technologies']","[u'.NET Developer', u'C#.NET Developer', u'ASP.NET Developer', u'Web Developer']",[u'.NET Developer'],.NET Developer,"[u'.NET Developer', u'.NET Developer']","[u'sql server', u'C#', u'MVC', u'Anguler JS', u'AJAX', u'Web Services', u'WCF', u'WPF', u'HTML/DHTML', u'XML', u'Silver Light', u'ASP .NET', u'ASP', u'SharePoint and MVC.']",1073
1073,"[u'NDIP: IT (Web Application and Development)', u'Grade 12']","[u'Business Connexion', u'Mict / IBM']",[u'Integration Developer'],[],Junior Software Developer,[u'Internship'],"[u'DataPower Appliance.', u'Web Services', u'XSD', u'SQL', u'XML', u'Java (Java SE Java EE)', u'XSLT', u'IBM Integration Tool', u'ESQL', u'JavaScript', u'Weblogi', u'Python', u'Toad', u'GlassFish', u'MVC']",1074
1074,"[u'Certified Scrum Master', u'B.IT']","[u'Bolton?s GPS Warehouse', u'Cybernetic Software Development', u'FTB Solutions', u'King Price Insurance', u'Think Tank Design Agency']",[u'Senior C# Developer'],"[u'Software Developer', u'Junior Web Developer', u'Student Developer']",Development Team Leader,"[u'Development Contractor', u'Senior Software Developer']","[u'JQuery', u'OOP', u'Knockout', u'Scrum Master', u'C#', u'NServiceBus', u'Sql Server', u'Javascript', u'T-SQL', u'NHibernate', u'MVC.NET 5', u'Code Katas', u'Code Reviews', u'Technical Lead', u'Typescript', u'Operational Management', u'SQL Reporting', u'WPF', u'Team Lead', u'Training', u'WCF', u'SSIS', u'Angular', u'MySQL', u'Durandal', u'SignalR', u'PHP', u'C++', u'Java']",1075
1075,"[u'Advanced windows Store Apps using HTML5 with JavaScript and CSS3', u'WINDOWS STORE APPS USING HTML5', u'Information Technology', u'Information Technology', u'Grade12']","[u'Avanade', u'Conekt Business Group', u'ITeamMobile', u'Meniko People Development', u'Microsoft']",[u'software developer'],"[u'Junior Software Developer', u'JNR Software Developer']",Junior Software Developer,"[u'Software Developer', u'Junior Software Developer']","[u'PL/SQL developer', u'C# developer', u'SQL developer', u'Css', u'angulerjs', u'Javascript', u'HTML', u'C#', u'ASP']",1076
1076,"[u'National Diploma Information Technology', u'IT National Certificate', u'Senior Certificate']","[u'Media24', u'Scaw Metals Group', u'Synergize', u'Syntell', u""Woolworth's Head Office""]","[u'Snr Software Developer', u'junior programmer']","[u'SEO Inter', u'System Supporter']",Software Developer,"[u'Software Developer', u'Software Developer']","[u'Communication', u'.NET', u'java', u'javascript', u'sql', u'C#', u'jquery', u'Java, Cobol, Vb.Net, C++, Sql', u'Enterprinuership Skill', u'Tech', u'Data Analysis', u'SEO', u'Php,Javascript,Html, Asp.Net', u'PHP', u'Project Management']",1077
1077,"[u'70-461 Certification', u'BTECH : Information Technology', u'Information Technology', u'grade 12/matric']","[u'Business Connexion (BCX)', u'Business Connexion \\ Telkom', u'DSNS']","[u'VB .NET programmer', u'java', u'web designer (html', u'xml', u'java', u'javascript)', u'databases(sql', u'oracle); analysis (information systems)', u'sql administration', u'databases(sql', u'oracle); analysis (information systems)']",[],SQL Database Administrator,"[u'Junior Database Administrator', u'Developer VB Developer']","[u'trouble shooting computer problems', u'CRM', u'Microsoft SQL Management', u'Adobe Master Collection', u'Microsoft Office Package', u'Microsoftpackage', u'adobe aster collection', u'Microsoft Visual Studio', u'm', u'database maintenance', u'sql management', u'developing', u'testing', u'programming', u'mysql', u'word', u'outlook', u'excel', u'dreamweaver', u'photoshop', u'Html,Xhtml,Xml', u'sql', u'C#', u'Oracle', u'Java,Javascript', u'debtors and creditors', u'processing documents', u'faxing', u'data capturing', u'filing', u'general admin skills']",1078
1078,[u'Matric'],"[u'Discovery Life', u'Identification Verification Systems']",[],[],Oracle Developer,[u'PLSQL Developer'],"[u'Oracle PLSQL', u'css', u'html', u'C++', u'C#']",1079
1079,"[u'Bsc In Computing', u'MSCD Sharepoint Applications', u'Microsoft Certified It Professional (Mcitp) Pro: Microsoft Sharepoint 2010, Administrator', u'Fundamentals Of Xaml And Expression Blend', u'Windows Foundation', u'NQF 5 Level Systems Development', u'Windows Presentation Foundation', u'Diploma In System Analysis And Design', u'Microcomputer Technology Part 1 And Part2', u'Advanced Level']","[u'City of Cape Town', u'Engen Oil', u'Intervate Solutions Services']",[u'SharePoint Developer / Administration'],[],Sharepoint .NET Developer,"[u'Technology Consultant', u'Sharepoint & C# Developer']","[u'Sharepoint Configuration And Administration', u'C#.Net', u'Sharepoint Development', u'CSS', u'HMTL', u'JavaScript', u'JQuery', u'Powershell', u'T-Sql Transactions']",1080
1080,"[u'Financial Economics & Investment Management', u'Financial Management']","[u'Bluubin Financial Services', u'Cansa', u'Long Horn Grill', u'Pearl Construction', u'Self Employed', u'University of Free State']",[u'Financial Analyst'],"[u'Purchasing Consultant', u'Day Trader', u'Financial Adviser', u'Tutor & Examination Marker']",Web Developer,"[u'Financial Consultant', u'Front of House Manager']","[u'Accounting', u'Data Analysis', u'PHP', u'CSS', u'HTML']",1081
1081,"[u'National Diploma -Software development', u'Certificate in Computer Engineering', u'Matric']","[u'Bambanani Medical Centre', u'Beverly Hills Institute', u'Ohlanga Cash & Carry', u'Realmcom SA', u'Self-Employed', u'Tshwane University of Technology']","[u'Front-End Developer', u'C# Web Developer']","[u'GRV Clerk', u'Computer Lecturer', u'Student Assistant']",Freelance Web Developer,"[u'In-House Web Developer', u'Senior Web Developer']","[u'ASP.Net', u'SQL', u'C#', u'Adaptive/Responsive Design', u'Web Application Architecture', u'User experience (UX) design', u'API Integration', u'Javascript', u'CSS', u'HTML']",1082
1082,"[u'BSC(Hons) Computing', u'National Diploma in Computer Studies']","[u'Monsi Logistics', u'Providence software Solutions South Africa', u'ZAMBIA NATIONAL COMMERCIAL BANK']","[u'MS SQL DBA', u'SQL DEVELOPER']",[],MS SQL DBA / DEVELOPER,"[u'SQL DEVELOPER / DBA', u'SQL DBA']","[u'SSRS', u'ETL', u'T-SQL', u'Databases', u'SQL', u'SISS', u'Datawarehousing', u'Database fine tunining', u'ITIL\xae  Course Trained', u'Microsoft SQL Server', u'ERD modeling', u'UML', u'Use Case building', u'people managemet', u'Networking']",1083
1083,"[u'A-Levels', u'Information Technology', u'Std 9 (Moved To Uk To Do A-Levels)']","[u'Inxcom', u'Persuasion LAB Marketing (Datingbuzz)']",[],[],Web Developer,[u'Junior Web Developer'],[u'Photoshop'],1084
1084,[u'Ndip Electronic Engineering'],"[u'Brondal Park', u'EMS Technik', u'M-Tek', u'Onecell']",[],[u'Project Manager and Foreman'],Hardware Software Developer Production Manager.,"[u'Senior Electronic Technician', u'Developer Technician']","[u'Pcb Design', u'Interpersonal', u'Procurement', u'C/C++', u'Delphi', u'Management']",1085
1085,[u'Bsc Computer Science And Information Technology'],"[u'Adcheck', u'BR Promotions', u'Cargo Carriers', u'Midrand Graduate Institute', u'Pathfinder Logistic Solutions', u'Transformer Test Instruments']",[],"[u'Part Time Lecturer', u'Developer', u'Promoter']",Technical Director,"[u'Developer', u'Technical Consultant']","[u'SQL', u'Vba', u'Java', u'Java Ee', u'Java Me']",1086
1086,[u'Information Technology (Software Development)'],[u'Octagon Business Solutions'],"[u'IT Software Developer', u'SQL', u'Java Developer', u'IT Tech', u'Android Developer', u'C#', u'JSON']",[],Junior Software Developer,[],"[u'SQL', u'Microsoft office', u'Android', u'Computer tech', u'C# (Major)', u'Microsoft Access Database', u'JAVA', u'SQLite and SqlServer', u'Working Fast', u'Getting things done', u'Software Analysis', u'Programme Debugging', u'management', u'interaction', u'communication']",1087
1087,"[u'End-User Computing', u'CompuTIA A+ Certification', u'National Certificate IT System Development', u'Diploma Information Technology']","[u'Accenture Technology Solution', u'Malamulele Central Circuit']","[u'IT Support', u'IT Admin', u'IT Technician and Desktop Support', u'Junior IT Technician', u'Software Tester', u'Java Developer', u'Junior Java Developer', u'Software Consultant']",[],Junior Java Developer,[u'IT Support/Data Capture'],"[u'IT Consulted', u'JAVA', u'Desktop Support', u'VB .NET programing', u'Networking', u'Microsoft Office', u'Web Development', u'Software testing', u'Eclipse', u'IT Support', u'Programming', u'SAP', u'JavaScript', u'Software Consultant', u'HTML', u'Technical Support', u'SoapUI', u'CSS', u'Software Testing', u'API Store', u'Confluence']",1088
1088,[u'B.Sc Computer Science'],"[u'4cit', u'Computer Science Corporation']",[],[],Oracle DBA Developer,"[u'Junior Core Oracle DBA', u'Intern']","[u'Unix', u'Backup', u'Customer Relations', u'Database Administration', u'Forms', u'Migration', u'Oracle Applications', u'Oracle Pl/Sql', u'Oracle Version 6', u'Oracle Version 8', u'Rdbms', u'Scheduling', u'Shell Scripting', u'Software Installation', u'sql', u'Tables', u'awk', u'Solaris']",1089
1089,[u'Ba Communication'],"[u'Compuways', u'IBD Click', u'SA Vitamins']",[u'Graphic Designer | Web Developer | Brand Manager | Social Media'],[],Graphic Designer | Brand Manager | Web Developer | Social Media Management,"[u'Social Media Manager', u'IT Recruiter']","[u'Marketing', u'Customer Service', u'Photoshop', u'Copy Writing', u'Brand Management', u'InDesign', u'Branding', u'Graphic Design', u'Wordpress', u'Social Media Management', u'Illustrator', u'Project Management']",1090
1090,[u'National Diploma In Information Technology'],"[u'City of Cape Town', u'Fsiu', u'Glasshouse', u'L.A Refrigeration', u'Maxxor Business Solution', u'Movigo Technolgies', u'Paradigm Solutions', u'Self Employed']","[u'Snr Php developer', u'php developer', u'php developer']","[u'Paradigm Solutions', u'Junior PHP Developer', u'Junior C#.Dot NET Developer', u'General Assistant', u'Computer Servicing']",Senior Software Systems Architect Technical Team Lead,"[u'Senior Software Archietech', u'Mid Senior Scripting Developer']",[],1091
1091,"[u'Java Certification', u'Master Of Computer Applications', u'Bachelor Of Computer Science']","[u'First National Bank', u'MFS Africa', u'Standard Bank']",[u'Java Developer'],[],Java Developer,"[u'Java Developer', u'Java Developer']","[u'Java,J2ee', u'Xml,Webservies', u'Mysql,Oracle,Sql', u'Jsp,Jfs,Html, Jquerry,Scriptis...Etc']",1092
1092,"[u'Business Focused Project Management', u'Advance Visual Studio  .NET Technical Diploma']","[u'CEB Maintenance', u'Cura Software Solutions', u'Izazi Solutions', u'MAM Wholesalers', u'Softside Development', u'TSS']",[u'Operations/Delivery Manager/Lead'],"[u'Software Engineer', u'Site Manager', u'Web Developer Programmer', u'Assistant Manager']",Implementations Solution Manager and Senior Business Analyst,"[u'Software Network Engineer', u'Support Developer']","[u'Hardware Support', u'Software Support', u'Implementations Manager', u'Implementations', u'Team Lead', u'Business Analyst', u'Risk Management', u'Networking', u'Project Management', u'Web Development', u'Programming']",1093
1093,"[u'Nd:Information Technology', u'High School Education']","[u'Accenture', u'Durban University of Technology']",[],[],Software Developer Intern,[u'Computer Lab Technician'],[u'Programming'],1094
1094,[u'Meng (Electronic and Electirical Engineering)'],"[u'Council for Scientific & Industrial Research (CSIR)', u'ECN Telecoms', u'Mbewenhle Solutions (Pty) Ltd.']","[u'C++ developer', u'python', u'linux', u'data scientist']",[u'Network Engineer'],Software Developer Trainee,"[u'Research', u'Research Engineer Software']","[u'Latex', u'javascript', u'Java ME)', u'Python', u'and Microsoft Windows. \u2022 Programming Languages: C', u'Bash/Shell', u'Java (J2SE', u'HTML. \u2022 Databases: PostgreSQL and MySQL. \u2022 Kernel development for Linux and *BSD based Operating Systems. \u2022 Computer and mobile networking.', u'Linux', u'\u2022 Multi-core architecture and distributed systems design and development. \u2022 Operating Systems: OpenBSD', u'NetBSD']",1095
1095,"[u'ITIL 2011 Edition Foundation', u'Prince2', u'Master Business Administation Foundation (Mba(Cm))', u'Delphi To C# Conversion', u'Microsoft Visual Studio', u'Microsoft  C#', u'Advanced Project Management', u'Microsoft Certified Systems Engineer(Mcse)', u'Microsoft Certified Professional + Internet(Mcp +', u'Microsoft Certified Professional(Mcp )', u'Microcontrollers Assemble Software', u'N4 Industrial Electronics', u'Senior Certificate']","[u'MR Price Group', u'UEC Technology']","[u'Project Manager', u'IT Manager', u'Account Manager', u'IT Manager', u'Account Manager']",[u'Senior Technical Support'],Project Manager IT,"[u'Business Intelligence Developer', u'Project Engineer']","[u'Immensely enjoy navigating all aspects of complex projects.', u'Driven by new challenges and desire to be successful in all endeavors.', u'Architect tailor \u2013 made customer solution build relationships and communicate solution strategy and product offerings and provide technical expertise and support and training to sales and customers.', u'An adaptable and successful IT professional with experience across multiple and varied projects in the IT industry.', u'Solutions \u2013 driven IT Professional with extensive experience in Project Management and designing/implementing IT solutions.', u'Articulate communicator who can fluently speak the languages of both people and technology blending technical expertise with exceptional interpersonal skills while interacting effectively with customers - sales - marketing and technical/engineering teams.', u'Enjoys working in a varied role with an element of business analysis - project management and end user coordination.', u'Extensive computer software implementation experience with both single and multi site companies.', u'Customer \u2013 focused highly organized self \u2013 starter with effective customer \u2013 service skills and demonstrated ability to manage technical aspects and pre \u2013 sales projects.', u'Decisive action oriented and results \u2013 focused IT Professional offering over 20 years of experience in the IT industry.', u'Resourceful and creative problem \u2013 solver with proven aptitude to analyze and translate complex customer requirements and business problems and design/implement innovative customer solutions.', u'Risk Management', u'Systems Development', u'Project Reporting', u'PMBOK', u'Agile', u'Project Planning', u'Resource Management', u'Staff Management', u'Software Development', u'Product Development', u'Prince 2', u'Process Improvement', u'Manage Project Quality', u'Change Management']",1096
1096,[u'Diploma'],[u'Telkom'],[u'Developer'],[],SAP Developer,[],"[u'SAP abap', u'C#', u'VB .NET', u'JAVA', u'C++']",1097
1097,[u'M.Sc'],"[u'Computer Superstore', u'HSBC', u'Skyscraper Technologies']",[],[],Lead Engineer Desktop and Network Support,"[u'Technical Support Developer', u'Technician']","[u'Windows 98,Xp,Vista,7', u'Copper, Fibre, Telecoms Cabling', u'Computer/Telecoms Hardware', u'Win Nt,Server 2003, 2008', u'Html, Php, Sql']",1098
1098,"[u'National Diploma, Information Technology']","[u'ABSA Bank', u'Black Letter Media', u'Finteq', u'Satndard Bank', u'Women of Vision NGO']","[u'Coordinator', u'Assistant Coordinator', u'Personal Assistant', u'Assistant Coordinator', u'Personal Assistant']","[u'Risk & Compliance Consultant', u'Systems Developer']",Administrative Assistant,"[u'Secretary', u'Project Administrative Assistant']","[u'Organisational Skills', u'Msoffice -Word, Excel, Powerpoint, Visio', u'Communication - Writing(Brochures,Manual)']",1099
1099,"[u'Mcdba.Net', u'MCSD', u'Business Computing And Business Admin', u'Popular Music, Jazz, Performing And Theory.']","[u'Cipc Intellectual Property Branch', u'Eubiq', u'Fabucon Contsruction', u'Noble Crest', u'Plumbum IT Solutions']",[u'New product developer'],"[u'Marketing Manager', u'Corporate Sales Executive']",Freelance Consultant on Intellectual Property,"[u'New Product Developer', u'Marketing Director']","[u'New Product Developer', u'Sales And Marketing', u'Microsoft Office Skilled', u'Inventing/Inventor', u'Brand Conceptualizing/Building With Intellectual Property Advice', u'Trademark, Patent And Design Consultant', u'Investment/Capital Sourcing For New/Existing Projects']",1100
1100,"[u'Project Management', u'A+', u'National Diploma Information Technology']","[u'Absolute Systems', u'Democratic Alliance', u'Dros', u'Eco-Time Technology']",[],"[u'Database Administrator Admin', u'Waiter Barman']",Project Manager,"[u'Developer', u'Software Support Consultant']","[u'Microsoft Office', u'Upgrades', u'Information Systems', u'Customer Support', u'Customer Relations', u'atm', u'Networking', u'Billing', u'Budgeting', u'Management', u'Meeting Facilitation', u'Project Planning', u'Programming', u'Web Site Production', u'User Interface Design']",1101
1101,"[u'Java SE 8 Programmer 1', u'Xcelsius \u201908 Enterprise \u2013 Core & Connectivity', u'Business Management and Marketing Diploma', u'Linux 101 Linux 102 Administration\t Linux 103 Security Java C++ Web Development', u'MCSE']","[u'Department of Labour Compensation Fund', u'Elangeni College', u'Tlou Networks', u'Transnet']","[u'Java Developer', u'Web Developer']",[u'Developer'],IT Technical Consultant,"[u'Java Developer', u'Business Intelligence Consultant']","[u'HTML', u'CSS', u'Java Script', u'MySQL', u'PHP', u'Wicket', u'Xcelsius', u'Dundas Dashboard', u'SAP Business Objects Dashboards', u'Web Hosting', u'Joomla', u'Apache Tomcat', u'SQL', u'Qlikview', u'JSP', u'Domain Administration', u'Business Objects SAP Dashboard Design', u'JBOSS', u'J2EE', u'VB', u'Flash', u'GlassFish', u'.NET']",1102
1102,[u'Master of computer applications'],"[u'DTC', u'InfoLine LLC', u'PricewaterhouseCoopers (PWC)', u'Standard Bank', u'Tecvibes Info System']",[u'Microsoft Senior BI Developer'],"[u'Sharepoint & BI Developer', u'Dynamics AX & BI Developer']",Senior BI CONSULTANT,"[u'Senior BI Developer', u'Microsoft Senior BI Developer']","[u'SQL Server 2012 R2', u'Dynamcis AX 2012 R3', u'SharePoint Server 2013', u'SSAS', u'SSIS', u'SSRS', u'Power BI']",1103
1103,"[u'Management Certificate', u'Advanced Professional Coach Diploma', u'Professional Coach Diploma (Personal Performance)', u'Neuro Linguistic Programming Diploma', u'Post-Graduate Certificate In Education', u'Higher Certificate In Bookkeeping', u'Entry Level Professional Programmer Course', u'Bachelor Of Arts', u'Basic Computer Skills Certificate']","[u'All Fired up Ceramics Cafe (Uk)', u'Classroom Call Education Services & UK Teachi', u'Deloitte & Touche', u'Golden Generations Montessori Private School', u'Private Client (Uk)', u'Private Practice', u'Private Practice (Uk)', u'R.E. Austin (Through Pyramid Recruitment) (UK', u'Spicerhaart (Uk)', u'The Colchester Institute (Uk)']",[],"[u'Duty Manager', u'Supply Teacher', u'Pre-Employment Screening Administrator', u'Artist Assistant and Private Tutor', u'Student Teacher and After-Care Supervisor', u'Private Tutor', u'Software Developer Quality Controller']",Client Liaison Team Leader,"[u'Lecturer', u'Professional Performance Coach']","[u'Communication -Written And Verbal', u'Flexibiliy And Learning', u'Supervisory Skills', u'Performance Development', u'Training And Development', u'Documentation Creating And Editing', u'Customer Relations And Service', u'Coaching', u'Target Achievement', u'People Management', u'Operations And Process Management', u'Computer Literacy', u'Quality Control And Testing', u'Meeting Facilitation', u'Change Management', u'Supply Chain Management', u'Recruiting', u'Process Enhancement And Improvement', u'Analysing And Interpreting Data', u'Human Resources', u'Executive Management', u'Retail']",1104
1104,"[u'B.Com', u'Diploma In Business Analysis', u'Bsc(Information Systems)', u'Certificate']","[u'African Bank', u'First National Bank Home Loans', u'Nedbank', u'Psybergate']","[u'Business Analyst', u'Analyst', u'MIS/Data Analyst', u'Analyst']","[u'Data Mis Analyst', u'Cash Administrator', u'Java Developer Intern']",Credit Business Analyst,"[u'Buisness Analyst', u'Mis Analyst']","[u'Microsoft Excel', u'Microsoft Word', u'Excel Vba', u'Powerpoint', u'Visio', u'Sql Server 2000', u'Microsoft Visual Studio Reporting Services', u'Sql Server 2008', u'Quality Centre', u'Java', u'C#', u'Sas Base 9.1']",1105
