,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
207,[],[u'First Technology'],"[u'Juinor Developer', u'Junior Analyst']",[],Assistant to Senior Developer,[],[],208
208,"[u'SAP Abap with Netweaver', u'IT National Diploma', u'System Development NQF4', u'IT and Computer Science NQF3']","[u'Baraka Technology Group', u'Hages Business Solutions', u'iBusiness Networking']",[u'SAP ABAP Consultant'],[],SAP ABAP Consultant,"[u'Junior SAP ABAP Consultant', u'Web Developer']","[u'Java', u'SQL', u'C#', u'VB.Net', u'Javascript', u'HTML', u'SAP ABAP', u'mySQL', u'php', u'CSS']",209
209,"[u'Master Of Computer Applications', u'Bachelors In Computer Science']","[u'IBM India PVT', u'Logikal Consulting', u'Miracle Software Systems India PVT', u'Syntel India']",[u'Sr.EDI Specialist'],[u'Edi Developer'],Sr.Edi Specialist,"[u'Edi Consultant', u'Edi Consultant']","[u'Sterling Intehgrator', u'EDI']",210
210,"[u'BSc Computer Science and GIS', u'Matric']","[u'Accenture', u'Capaciti1000', u'Truworths Head Office']",[u'Java Developer'],[],Junior Java Developer,"[u'Intern', u'Intern']","[u'Hibernate', u'Spring MVC', u'SQLite', u'Java', u'Tomcat', u'SVN', u'SQL', u'JSON', u'MySQL', u'Angularjs', u'Cordova', u'CSS3', u'HTML5']",211
211,[u'Senior Certificate'],"[u'BackBone Solutions', u'Dsmax']","[u'Web Developer', u'Systems Administrator', u'PHP Developer', u'Front-End Developer']",[],Web Developer,[u'Training Manager'],"[u'CSS', u'Laravel', u'JSON', u'HTML', u'MySql', u'PHP', u'Computer Literacy', u'Communication', u'AngularJS', u'Javascript', u'Mysql', u'Jquery', u'Gaming', u'Microsoft Office', u'Project Management', u'Team Leader']",212
212,"[u'computer science and mathematics', u'National Senior Certificate']","[u'Discovery', u'Mazwe Credit', u'Telesure Insurance Company']","[u'Java Developer', u'Database management', u'Business Analyst', u'Business Intelligence', u'Linux Bash Scripting', u'Data Analyst', u'RPG Developer']",[],JAVA and RPG developer,"[u'RPG Developer', u'Software Release man']","[u'sql developer', u'rpg developer', u'java developer', u'database administartor', u'support desk', u'business intelligent', u'C# developer', u'C++ developer', u'android developer']",213
213,"[u'Masters Degree In Business Leadership (M.B.L.)', u'B Com Industrial Psychology']","[u'Antwerpse Bottel Mpij NV Coca-Cola', u'College Campus Parktown', u'DIE Vaderland, Perskor', u'IMD George & Damelin George', u'Independent Institute of Education (Iie)', u'In-George Business Guide', u'Nedbank', u'Port Elizabeth Technicon', u'Sterns Jewellers', u'United Bank - NOW ABSA Bank', u'University of Johannesburg']",[],"[u'Senior Lecturer', u'Business Consultant Publisher', u'Lecturer', u'Regional Loans Development Manager', u'Financial Journalist', u'Exchange Student Aiesec', u'Department Manager Foreign Exchange', u'Assistant Store Manager']",Moderator,"[u'Course Developer', u'Lecturer']","[u'Lecturing', u'Computer Literate - Word, Excel, Powerpoint,Pastel', u'Journalism - English And Afrikaans']",214
214,"[u'BComm', u'Diploma in Datametrics', u'BSc']","[u'Mondi Board Mills', u'PP Leventis Consulting', u'QQBI', u'Richards Bay Minerals']","[u'BI Consultant BI Developer', u'Data Warehouse Developer', u'Data Architect', u'Senior SQL Developer', u'Demand Planning and Replenishment Anlyst and Developer', u'ASP.NET MVC Development']",[u'Technical Programmer'],Managing Developer,"[u'Sole Proprietor', u'Project Leader']","[u'BI Cube Development', u'Integration Developer', u'Java Developer', u'Dimensional  Modelling', u'Database Development', u'Visual BASIC Devloper', u'Baan ERP Tools Development', u'Self Service BI Practitoner', u'Report Creation and Distibution', u'SQL Developer', u'SSAS', u'SSIS', u'ASP.Net MVC C# Development', u'Demand Planning and Replenishment Development', u'SQL Development', u'Normalised Database Development', u'Dimensional Modelling', u'BI']",215
215,"[u'TOGAF 9 Foundation', u'Certified Ethical Hacker', u'B.Com (Information Systems)']","[u'Engen', u'Engen Petroleum', u'on The DOT (Media 24)']","[u'Solutions Architect', u'Software Architect', u'Technical Lead', u'Development Lead', u'.Net', u'C#', u'Application Architect', u'Team Lead']","[u'SQL Server DBA', u'Developer SQL ASP.NET Sharepoint']",Solutions Architect,"[u'Principal Solution Design Specialist', u'SNR SQL C# ASP.NET Sharepoint Developer']","[u'.Net', u'C#', u'Html/Css', u'Mentoring', u'Team Lead', u'Systems Analysis', u'T-SQL', u'MS SQL Server', u'Javascript', u'MS SQL Server DBA', u'IIS', u'Software Architecture', u'Jquery', u'ASP.Net MVC', u'Windows Server (2003-2012)', u'CI (TeamCity/Octopus)', u'Web API', u'HTML 5', u'MongoDB', u'GIT', u'WCF', u'TypeScript', u'TOGAF', u'Information Security', u'ASP.Net Web Forms', u'Sharepoint', u'TFS']",216
216,"[u'Bsc Information Systems', u'Hnd(Higher National Deploma - 2nd Year)', u'Comprehensive Programming', u'Grade 12/Senior Certificate']","[u'4 ECT (Episerver)', u'Barloworld-Logistics', u'Draft Fcb(Hello Computer)', u'EOH Microsoft Coastal (Airborne Consulting)', u'Korbitec', u'Mochron Investments']","[u'Software Developer', u'Software Engineer', u'Software Engineer']","[u'Software Tester', u'Developer', u'Junior Developer']",Software Engineer,"[u'Software Engineer', u'.NET Developer']","[u'Asp .NET', u'Mvc 4', u'Html5', u'SQL', u'Xhtml', u'Microsoft Office', u'CSS', u'C#', u'Javascript', u'Java', u'Oracle', u'I.S Project Management']",217
